Country,Population,Area_km2,Density,Growth Rate %,Rank
China,1425000000.0,9596961.0,148.0,0.03,1
India,1420000000.0,3287263.0,432.0,0.97,2
United States,339000000.0,9833520.0,34.0,0.59,3
Indonesia,277000000.0,1904569.0,145.43972940859587,1.07,4
Pakistan,240000000.0,881913.0,272.0,1.98,5
Nigeria,223000000.0,923768.0,241.0,2.53,6
Brazil,216000000.0,8515767.0,25.0,0.52,7
Bangladesh,172000000.0,147570.0,1165.0,1.11,8
Russia,,17098242.0,8.0,-0.39,9
Mexico,127000000.0,1964375.0,65.0,1.03,10
Germany,84000000.0,357022.0,232.0,0.32,13
France,68000000.0,551695.0,119.0,0.29,14
Egypt,110000000.0,1002450.0,110.0,1.79,15
China,1425000000.0,9596961.0,148.0,0.03,1
